Tinh,ThoiGian,TenGiai,SoTrungGiai,SoDau,SoCuoi
Long An,2023/12/05,G8,009,0,9; 9
Long An,2023/12/05,G7,947,1,0
Long An,2023/12/05,G6,9085,2,7
Long An,2023/12/05,G6,9453,2,7
Long An,2023/12/05,G6,7709,2,7
Long An,2023/12/05,G5,1974,3,2
Long An,2023/12/05,G4,28882,4,3; 7
Long An,2023/12/05,G4,77427,4,3; 7
Long An,2023/12/05,G4,13358,4,3; 7
Long An,2023/12/05,G4,30343,4,3; 7
Long An,2023/12/05,G4,65757,4,3; 7
Long An,2023/12/05,G4,81450,4,3; 7
Long An,2023/12/05,G4,58610,4,3; 7
Long An,2023/12/05,G3,26475,6,
Long An,2023/12/05,G3,26054,6,
Long An,2023/12/05,G2,35332,7,4; 5
Long An,2023/12/05,G1,004281,8,1; 2; 5
Long An,2023/12/05,ĐB,669051,9,
